Địa chỉ CŨ,Địa chỉ MỚI,Trạng thái
tỉnh Tuyên Quang,tỉnh Tuyên Quang,Sáp nhập Tỉnh/Thành phố
tỉnh Hà Giang,tỉnh Tuyên Quang,Sáp nhập Tỉnh/Thành phố
tỉnh Lào Cai,tỉnh Lào Cai,Sáp nhập Tỉnh/Thành phố
tỉnh Yên Bái,tỉnh Lào Cai,Sáp nhập Tỉnh/Thành phố
tỉnh Bắc Kạn,tỉnh Thái Nguyên,Sáp nhập Tỉnh/Thành phố
tỉnh Thái Nguyên,tỉnh Thái Nguyên,Sáp nhập Tỉnh/Thành phố
tỉnh Vĩnh Phúc,tỉnh Phú Thọ,Sáp nhập Tỉnh/Thành phố
tỉnh Phú Thọ,tỉnh Phú Thọ,Sáp nhập Tỉnh/Thành phố
tỉnh Hoà Bình,tỉnh Phú Thọ,Sáp nhập Tỉnh/Thành phố
tỉnh Bắc Ninh,tỉnh Bắc Ninh,Sáp nhập Tỉnh/Thành phố
tỉnh Bắc Giang,tỉnh Bắc Ninh,Sáp nhập Tỉnh/Thành phố
tỉnh Hưng Yên,tỉnh Hưng Yên,Sáp nhập Tỉnh/Thành phố
tỉnh Thái Bình,tỉnh Hưng Yên,Sáp nhập Tỉnh/Thành phố
tỉnh Hải Dương,thành phố Hải Phòng,Sáp nhập Tỉnh/Thành phố
thành phố Hải Phòng,thành phố Hải Phòng,Sáp nhập Tỉnh/Thành phố
tỉnh Hà Nam,tỉnh Ninh Bình,Sáp nhập Tỉnh/Thành phố
tỉnh Ninh Bình,tỉnh Ninh Bình,Sáp nhập Tỉnh/Thành phố
tỉnh Nam Định,tỉnh Ninh Bình,Sáp nhập Tỉnh/Thành phố
tỉnh Quảng Bình,tỉnh Quảng Trị,Sáp nhập Tỉnh/Thành phố
tỉnh Quảng Trị,tỉnh Quảng Trị,Sáp nhập Tỉnh/Thành phố
tỉnh Quảng Nam,thành phố Đà Nẵng,Sáp nhập Tỉnh/Thành phố
thành phố Đà Nẵng,thành phố Đà Nẵng,Sáp nhập Tỉnh/Thành phố
tỉnh Kon Tum,tỉnh Quảng Ngãi,Sáp nhập Tỉnh/Thành phố
tỉnh Quảng Ngãi,tỉnh Quảng Ngãi,Sáp nhập Tỉnh/Thành phố
tỉnh Gia Lai,tỉnh Gia Lai,Sáp nhập Tỉnh/Thành phố
tỉnh Bình Định,tỉnh Gia Lai,Sáp nhập Tỉnh/Thành phố
tỉnh Ninh Thuận,tỉnh Khánh Hoà,Sáp nhập Tỉnh/Thành phố
tỉnh Khánh Hoà,tỉnh Khánh Hoà,Sáp nhập Tỉnh/Thành phố
tỉnh Lâm Đồng,tỉnh Lâm Đồng,Sáp nhập Tỉnh/Thành phố
tỉnh Đắk Nông,tỉnh Lâm Đồng,Sáp nhập Tỉnh/Thành phố
tỉnh Bình Thuận,tỉnh Lâm Đồng,Sáp nhập Tỉnh/Thành phố
tỉnh Đắk Lắk,tỉnh Đắk Lắk,Sáp nhập Tỉnh/Thành phố
tỉnh Phú Yên,tỉnh Đắk Lắk,Sáp nhập Tỉnh/Thành phố
tỉnh Bà Rịa - Vũng Tàu,Thành phố Hồ Chí Minh,Sáp nhập Tỉnh/Thành phố
tỉnh Bình Dương,Thành phố Hồ Chí Minh,Sáp nhập Tỉnh/Thành phố
Thành phố Hồ Chí Minh,Thành phố Hồ Chí Minh,Sáp nhập Tỉnh/Thành phố
tỉnh Đồng Nai,tỉnh Đồng Nai,Sáp nhập Tỉnh/Thành phố
tỉnh Bình Phước,tỉnh Đồng Nai,Sáp nhập Tỉnh/Thành phố
tỉnh Tây Ninh,tỉnh Tây Ninh,Sáp nhập Tỉnh/Thành phố
tỉnh Long An,tỉnh Tây Ninh,Sáp nhập Tỉnh/Thành phố
thành phố Cần Thơ,thành phố Cần Thơ,Sáp nhập Tỉnh/Thành phố
tỉnh Sóc Trăng,thành phố Cần Thơ,Sáp nhập Tỉnh/Thành phố
tỉnh Hậu Giang,thành phố Cần Thơ,Sáp nhập Tỉnh/Thành phố
tỉnh Bến Tre,tỉnh Vĩnh Long,Sáp nhập Tỉnh/Thành phố
tỉnh Vĩnh Long,tỉnh Vĩnh Long,Sáp nhập Tỉnh/Thành phố
tỉnh Trà Vinh,tỉnh Vĩnh Long,Sáp nhập Tỉnh/Thành phố
tỉnh Tiền Giang,tỉnh Đồng Tháp,Sáp nhập Tỉnh/Thành phố
tỉnh Đồng Tháp,tỉnh Đồng Tháp,Sáp nhập Tỉnh/Thành phố
tỉnh Bạc Liêu,tỉnh Cà Mau,Sáp nhập Tỉnh/Thành phố
tỉnh Cà Mau,tỉnh Cà Mau,Sáp nhập Tỉnh/Thành phố
tỉnh An Giang,tỉnh An Giang,Sáp nhập Tỉnh/Thành phố
tỉnh Kiên Giang,tỉnh An Giang,Sáp nhập Tỉnh/Thành phố
